expcode,impcode,common_lang,ln_distance,ln_trade
SOUTH AFRICA,SAUDI ARABIA,0,4.059402,10.05139
SOUTH AFRICA,SYRN ARAB RP,0,4.182254,7.77863
SOUTH AFRICA,UNTD ARAB EM,1,4.109259,9.206432
SOUTH AFRICA,TURKEY,0,4.232423,11.84118
SOUTH AFRICA,YEMEN,0,3.914417,NA
SOUTH AFRICA,AFGHANISTAN,0,4.308519,NA
SOUTH AFRICA,BANGLADESH,1,4.438482,1.791759
SOUTH AFRICA,BHUTAN,0,4.468905,NA
SOUTH AFRICA,BRUNEI,1,4.571175,2.772589
SOUTH AFRICA,MYANMAR (BUR,0,4.498388,NA
SOUTH AFRICA,CAMBODIA,1,4.513509,NA
SOUTH AFRICA,SRI LANKA,1,4.210892,10.11014
SOUTH AFRICA,HONG KONG,1,4.641637,12.88347
SOUTH AFRICA,INDIA,0,4.279168,7.813187
SOUTH AFRICA,INDONESIA (i,1,4.59466,9.012499
SOUTH AFRICA,KOREA RP (SO,0,4.810173,9.296518
SOUTH AFRICA,LAOS P.DEM.R,1,4.539546,NA
SOUTH AFRICA,MALAYSIA,1,4.542644,NA
SOUTH AFRICA,MALDIVES,0,4.071768,NA
SOUTH AFRICA,NEPAL,0,4.415929,NA
SOUTH AFRICA,PAKISTAN,0,4.314993,6.124683
SOUTH AFRICA,PHILIPPINES,1,4.669279,7.320527
SOUTH AFRICA,SINGAPORE,1,4.447142,NA
SOUTH AFRICA,THAILAND,1,4.475266,8.821437
SOUTH AFRICA,TAIWAN,0,4.703169,12.25433
SOUTH AFRICA,CHINA,0,4.636986,NA
SOUTH AFRICA,KOREA D P RP,0,4.820086,NA
SOUTH AFRICA,MONGOLIA,0,4.704021,NA
SOUTH AFRICA,VIETNAM,1,4.538347,NA
SOUTH AFRICA,BELGIUM-LUX.,0,4.410377,12.78836
SOUTH AFRICA,DENMARK (inc,1,4.456035,9.511999
SOUTH AFRICA,FRANCE,0,4.358759,13.38073
SOUTH AFRICA,GERMANY,0,4.395059,13.81941
SOUTH AFRICA,GREECE,1,4.21994,10.67646
SOUTH AFRICA,IRELAND,1,4.477595,10.00501
SOUTH AFRICA,ITALY,0,4.286288,14.43498
SOUTH AFRICA,NETHERLANDS,0,4.425066,11.98914
SOUTH AFRICA,PORTUGAL,0,4.325534,10.91332
SOUTH AFRICA,SPAIN,0,4.310326,12.25535
SOUTH AFRICA,UNITED KINGD,1,4.465644,14.14063
SOUTH AFRICA,AUSTRIA,0,4.344779,11.50838
SOUTH AFRICA,FINLAND,0,4.532831,9.801953
SOUTH AFRICA,ICELAND,1,4.634305,6.739336
SOUTH AFRICA,NORWAY,0,4.522556,10.70372
SOUTH AFRICA,SWEDEN,0,4.515727,10.84215
SOUTH AFRICA,SWITZERLAND,0,4.352417,11.16514
SOUTH AFRICA,MALTA,1,4.182258,7.466799
SOUTH AFRICA,ALBANIA,0,4.250125,NA
SOUTH AFRICA,BULGARIA,0,4.276762,NA
SOUTH AFRICA,CZECHOSLOVAK,0,4.37207,NA
SOUTH AFRICA,HUNGARY,0,4.332117,7.489971
SOUTH AFRICA,POLAND,0,4.395667,NA
SOUTH AFRICA,ROMANIA,0,4.317577,NA
SOUTH AFRICA,FM YUGOSLAVI,0,4.291303,9.577965
SOUTH AFRICA,FM USSR,0,4.762466,NA
SOUTH AFRICA,AUSTRALIA,1,4.691516,11.57458
SOUTH AFRICA,NEW ZEALAND,1,5.013825,9.481741
SOUTH AFRICA,SOLOMON ISLD,0,4.91723,NA
SOUTH AFRICA,FIJI,1,5.019926,3.218876
SOUTH AFRICA,KIRIBATI (in,1,5.02436,1.791759
SOUTH AFRICA,NEW CALEDONI,0,4.952368,NA
SOUTH AFRICA,PAPUA N.GUIN,0,4.829369,2.197225
ALGERIA,SOUTH AFRICA,0,4.106691,NA
ALGERIA,LIBY ARAB JM,1,2.661505,4.682131
ALGERIA,MOROCCO,1,2.191013,NA
ALGERIA,WESTERN SAHA,1,2.376795,NA
ALGERIA,SUDAN,1,3.400085,NA
ALGERIA,TUNISIA,1,2.138333,11.86053
ALGERIA,EGYPT,1,3.296522,NA
ALGERIA,CAMEROON,1,3.168413,NA
ALGERIA,CENTRAL AFR.,1,3.319938,NA
ALGERIA,CHAD,1,3.026045,NA
ALGERIA,CONGO,0,3.446321,NA
ALGERIA,GABON,1,3.41086,NA
ALGERIA,ANGOLA,0,3.769646,6.075346
ALGERIA,BURUNDI,1,3.725403,NA
ALGERIA,COMOROS,1,4.053095,NA
ALGERIA,ZAIRE,0,3.572598,NA
ALGERIA,BENIN,1,2.918592,1.791759
ALGERIA,EQ. GUINEA,1,3.293086,NA
ALGERIA,ETHIOPIA,1,3.696631,NA
ALGERIA,DJIBOUTI,1,3.767448,NA
ALGERIA,GAMBIA,0,3.193501,NA
ALGERIA,GHANA,0,3.026045,NA
ALGERIA,GUINEA,1,3.063435,NA
ALGERIA,COTE D'IVOIR,1,3.069942,7.50329
ALGERIA,KENYA,0,3.788817,NA
ALGERIA,LIBERIA,0,3.213649,9.883336
ALGERIA,MADAGASCAR,1,4.176159,NA
ALGERIA,MALAWI,0,3.947392,NA
ALGERIA,MALI,1,2.567899,3.871201
ALGERIA,MAURITANIA,1,2.833213,5.590987
ALGERIA,MAURITIUS,1,4.288389,NA
ALGERIA,MOZAMBIQUE,0,4.029648,NA
